Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
ENSMFAG00000044253	VNN1	ENSG00000112299	VNN1	ortholog_one2one	1
ENSMFAG00000046066	FEM1C	ENSG00000145780	FEM1C	ortholog_one2one	1
ENSMFAG00000047364					
ENSMFAG00000052897					
ENSMFAG00000039076	FNIP2	ENSG00000052795	FNIP2	ortholog_one2one	1
ENSMFAG00000031021	C5orf22	ENSG00000082213	C5orf22	ortholog_one2one	1
ENSMFAG00000055380					
ENSMFAG00000060957					
ENSMFAG00000035750	PLA2G4B	ENSG00000243708	PLA2G4B	ortholog_one2one	1
ENSMFAG00000019091	TICAM2	ENSG00000243414	TICAM2	ortholog_one2one	1
ENSMFAG00000001989	IRX1	ENSG00000170549	IRX1	ortholog_one2one	1
ENSMFAG00000053664	SNORA76	ENSG00000252122		ortholog_one2one	0
ENSMFAG00000050419					
ENSMFAG00000045060	SLC7A7	ENSG00000155465	SLC7A7	ortholog_one2one	1
ENSMFAG00000052175	Metazoa_SRP				
ENSMFAG00000037554	MTFR1L	ENSG00000117640	MTFR1L	ortholog_one2one	1
ENSMFAG00000063391	Metazoa_SRP				
ENSMFAG00000059052	U6	ENSG00000206703	RNU6-128P	ortholog_one2one	1
ENSMFAG00000052395					
ENSMFAG00000055003	U6	ENSG00000199765	RNU6-363P	ortholog_one2one	1
ENSMFAG00000032758	GM2A	ENSG00000196743	GM2A	ortholog_one2one	1
ENSMFAG00000062684					
ENSMFAG00000020933					
ENSMFAG00000038860					
ENSMFAG00000028903	SLF1	ENSG00000133302	SLF1	ortholog_one2one	1
ENSMFAG00000056207					
ENSMFAG00000001809	SPMIP2	ENSG00000164123	SPMIP2	ortholog_one2one	1
ENSMFAG00000009668	U2	ENSG00000222598	RNU2-49P	ortholog_one2one	1
ENSMFAG00000060307					
ENSMFAG00000055111					
ENSMFAG00000039708	CCDC125	ENSG00000183323	CCDC125	ortholog_one2one	1
ENSMFAG00000065002					
ENSMFAG00000047173					
ENSMFAG00000060418	ATG12	ENSG00000145782	ATG12	ortholog_one2one	1
ENSMFAG00000004554	SNORD39	ENSG00000274535	SNORD39	ortholog_one2one	1
ENSMFAG00000052928					
ENSMFAG00000036435	SELENON	ENSG00000162430	SELENON	ortholog_one2one	1
ENSMFAG00000000620	MRPL52	ENSG00000172590	MRPL52	ortholog_one2one	1
ENSMFAG00000040126	SPTBN5	ENSG00000137877	SPTBN5	ortholog_one2one	1
ENSMFAG00000003733	SLC36A3	ENSG00000186334	SLC36A3	ortholog_one2one	1
ENSMFAG00000039913	NFXL1	ENSG00000170448	NFXL1	ortholog_one2one	1
ENSMFAG00000032046	CDO1	ENSG00000129596	CDO1	ortholog_one2one	1
ENSMFAG00000043542	VNN2	ENSG00000112303	VNN2	ortholog_one2one	1
ENSMFAG00000000579	ADAMTS16	ENSG00000145536	ADAMTS16	ortholog_one2one	1
ENSMFAG00000038289	MMP14	ENSG00000157227	MMP14	ortholog_one2one	1
ENSMFAG00000043417	NRCAM	ENSG00000091129	NRCAM	ortholog_one2one	1
ENSMFAG00000050207	Metazoa_SRP				
ENSMFAG00000058071	Y_RNA	ENSG00000212335	Y_RNA	ortholog_one2one	1
ENSMFAG00000036776	HTT	ENSG00000197386	HTT	ortholog_one2one	1
ENSMFAG00000022128	Y_RNA	ENSG00000199716	Y_RNA	ortholog_one2one	1
ENSMFAG00000054906					
ENSMFAG00000043011	TAF9	ENSG00000273841	TAF9	ortholog_one2one	1
ENSMFAG00000036819	RYR3	ENSG00000198838	RYR3	ortholog_one2one	1
ENSMFAG00000034191	MAN1C1	ENSG00000117643	MAN1C1	ortholog_one2one	1
ENSMFAG00000001834	PDZD2	ENSG00000133401	PDZD2	ortholog_one2one	1
ENSMFAG00000053043					
ENSMFAG00000040844	SLC18B1	ENSG00000146409	SLC18B1	ortholog_one2one	1
ENSMFAG00000040578	LRP10	ENSG00000197324	LRP10	ortholog_one2one	1
ENSMFAG00000031115	TCF12	ENSG00000140262	TCF12	ortholog_one2one	1
ENSMFAG00000032997	KIF13A	ENSG00000137177	KIF13A	ortholog_one2one	1
ENSMFAG00000051195					
ENSMFAG00000003364	AP3S1	ENSG00000177879	AP3S1	ortholog_one2one	1
ENSMFAG00000053736					
ENSMFAG00000047811	EHD4	ENSG00000103966	EHD4	ortholog_one2one	1
ENSMFAG00000049667					
ENSMFAG00000031075	RAD17	ENSG00000152942	RAD17	ortholog_one2one	1
ENSMFAG00000058706					
ENSMFAG00000040965	PTPN9	ENSG00000169410	PTPN9	ortholog_one2one	1
ENSMFAG00000032788	REM2	ENSG00000139890	REM2	ortholog_one2one	1
ENSMFAG00000033706	CNGA1	ENSG00000198515	CNGA1	ortholog_one2one	1
ENSMFAG00000060000					
ENSMFAG00000051464					
ENSMFAG00000042652	RPS12	ENSG00000112306	RPS12	ortholog_one2one	1
ENSMFAG00000065124	LDLRAP1	ENSG00000157978	LDLRAP1	ortholog_one2one	1
ENSMFAG00000045495	PLA2G4E	ENSG00000188089	PLA2G4E	ortholog_one2one	1
ENSMFAG00000057522	SNORD101	ENSG00000206754	SNORD101	ortholog_one2one	1
ENSMFAG00000003706	SNUPN	ENSG00000169371	SNUPN	ortholog_one2one	1
ENSMFAG00000056209	SNORD100	ENSG00000221500	SNORD100	ortholog_one2one	1
ENSMFAG00000047606					
ENSMFAG00000014035	SNORA33	ENSG00000200534	SNORA33	ortholog_one2one	1
ENSMFAG00000046152	SLC36A2	ENSG00000186335	SLC36A2	ortholog_one2one	1
ENSMFAG00000057246					
ENSMFAG00000057099					
ENSMFAG00000060314					
ENSMFAG00000044364	LVRN	ENSG00000172901	LVRN	ortholog_one2one	1
ENSMFAG00000047901	Metazoa_SRP				
ENSMFAG00000008867	IMP3	ENSG00000177971	IMP3	ortholog_one2one	1
ENSMFAG00000052908	Metazoa_SRP				
ENSMFAG00000037595	RBM23	ENSG00000100461	RBM23	ortholog_one2one	1
ENSMFAG00000044604	MARVELD2	ENSG00000152939	MARVELD2	ortholog_one2one	1
ENSMFAG00000002189	SNX33	ENSG00000173548	SNX33	ortholog_one2one	1
ENSMFAG00000003996	PLA2G4D	ENSG00000159337	PLA2G4D	ortholog_one2one	1
ENSMFAG00000031446	CSPG4	ENSG00000173546	CSPG4	ortholog_one2one	1
ENSMFAG00000035460	MACO1	ENSG00000204178	MACO1	ortholog_one2one	1
ENSMFAG00000001846	TEC	ENSG00000135605	TEC	ortholog_one2one	1
ENSMFAG00000023966	Metazoa_SRP	ENSG00000266477	RN7SL616P	ortholog_one2one	1
ENSMFAG00000043639	RAPGEF2	ENSG00000109756	RAPGEF2	ortholog_one2one	1
ENSMFAG00000049472					
ENSMFAG00000037172	ICE1	ENSG00000164151	ICE1	ortholog_one2one	1
ENSMFAG00000047812	CIMAP1C	ENSG00000182950	CIMAP1C	ortholog_one2one	1
ENSMFAG00000034647	OCLN	ENSG00000197822	OCLN	ortholog_one2one	1
ENSMFAG00000010715	SLC36A1	ENSG00000123643	SLC36A1	ortholog_one2one	1
ENSMFAG00000037522	EYA4	ENSG00000112319	EYA4	ortholog_one2one	1
ENSMFAG00000046972					
ENSMFAG00000038504	PLA2G4F	ENSG00000168907	PLA2G4F	ortholog_one2one	1
ENSMFAG00000004420	U6	ENSG00000212260	RNU6-724P	ortholog_one2one	1
ENSMFAG00000051638	snoU13				
ENSMFAG00000042317		ENSG00000188672	RHCE	ortholog_one2many	1
ENSMFAG00000042317		ENSG00000187010	RHD	ortholog_one2many	1
ENSMFAG00000060362	Metazoa_SRP				
ENSMFAG00000048859	Metazoa_SRP	ENSG00000278604	RN7SL429P	ortholog_many2many	0
ENSMFAG00000048859	Metazoa_SRP	ENSG00000274350	RN7SL853P	ortholog_many2many	0
ENSMFAG00000048859	Metazoa_SRP	ENSG00000242066	RN7SL214P	ortholog_many2many	0
ENSMFAG00000048859	Metazoa_SRP	ENSG00000275992	RN7SL327P	ortholog_many2many	0
ENSMFAG00000048859	Metazoa_SRP	ENSG00000277295	RN7SL489P	ortholog_many2many	0
ENSMFAG00000048859	Metazoa_SRP	ENSG00000241807	RN7SL319P	ortholog_many2many	1
ENSMFAG00000054438	Metazoa_SRP	ENSG00000264030	RN7SL66P	ortholog_one2many	0
ENSMFAG00000003813	ADAD1	ENSG00000164113	ADAD1	ortholog_one2one	1
ENSMFAG00000001324	PRMT5	ENSG00000100462	PRMT5	ortholog_one2one	1
ENSMFAG00000033857	TMEM50A	ENSG00000183726	TMEM50A	ortholog_one2one	1
ENSMFAG00000059935	Metazoa_SRP				
ENSMFAG00000035400		ENSG00000145736	GTF2H2	ortholog_one2many	1
ENSMFAG00000035400		ENSG00000183474	GTF2H2C	ortholog_one2many	1
ENSMFAG00000009764	U6	ENSG00000252373	RNU6-358P	ortholog_one2one	1
ENSMFAG00000049756	Metazoa_SRP				
ENSMFAG00000047600	snoU13				
ENSMFAG00000065793	snoU13				
ENSMFAG00000055618	U6	ENSG00000251887	RNU6-760P	ortholog_one2one	1
ENSMFAG00000054480					
ENSMFAG00000057107					
ENSMFAG00000036711	CGNL1	ENSG00000128849	CGNL1	ortholog_one2one	1
ENSMFAG00000045311	GOLPH3	ENSG00000113384	GOLPH3	ortholog_one2one	1
ENSMFAG00000039681	FAT2	ENSG00000086570	FAT2	ortholog_one2one	1
ENSMFAG00000039485	MCTP1	ENSG00000175471	MCTP1	ortholog_one2one	1
ENSMFAG00000003735	NIPAL1	ENSG00000163293	NIPAL1	ortholog_one2one	1
ENSMFAG00000035827	IL2	ENSG00000109471	IL2	ortholog_one2one	1
ENSMFAG00000037364	VPS39	ENSG00000166887	VPS39	ortholog_one2one	1
ENSMFAG00000046443					
ENSMFAG00000014026	U6	ENSG00000200269	RNU6-838P	ortholog_one2one	1
ENSMFAG00000006567	U7				
ENSMFAG00000006846	UBE2Q2	ENSG00000140367	UBE2Q2	ortholog_one2one	1
ENSMFAG00000042332	HAUS4	ENSG00000092036	HAUS4	ortholog_one2one	1
ENSMFAG00000056259					
ENSMFAG00000024698					
ENSMFAG00000054528	Metazoa_SRP				
ENSMFAG00000047192	IL21	ENSG00000138684	IL21	ortholog_one2one	1
ENSMFAG00000033607	PNPLA8	ENSG00000135241	PNPLA8	ortholog_one2one	1
ENSMFAG00000060473	TCF21	ENSG00000118526	TCF21	ortholog_one2one	1
ENSMFAG00000042290	SLAIN2	ENSG00000109171	SLAIN2	ortholog_one2one	1
ENSMFAG00000051674	THAP5	ENSG00000177683	THAP5	ortholog_one2one	1
ENSMFAG00000054375	Y_RNA	ENSG00000200052	Y_RNA	ortholog_one2many	0
ENSMFAG00000054375	Y_RNA	ENSG00000223300	Y_RNA	ortholog_one2many	0
ENSMFAG00000059378					
ENSMFAG00000040137	TBPL1	ENSG00000028839	TBPL1	ortholog_one2one	1
ENSMFAG00000055545	Metazoa_SRP	ENSG00000264313	RN7SL644P	ortholog_one2many	0
ENSMFAG00000054701	DNAJB9	ENSG00000128590	DNAJB9	ortholog_one2one	1
ENSMFAG00000037827	MTMR12	ENSG00000150712	MTMR12	ortholog_one2one	1
ENSMFAG00000055086	AJUBA	ENSG00000129474	AJUBA	ortholog_one2one	1
ENSMFAG00000001237	FGF2	ENSG00000138685	FGF2	ortholog_one2one	1
ENSMFAG00000039341	NAIP	ENSG00000249437	NAIP	ortholog_one2one	1
ENSMFAG00000063399					
ENSMFAG00000052688					
ENSMFAG00000064040	U6	ENSG00000252839	RNU6-419P	ortholog_one2one	0
ENSMFAG00000047279	Metazoa_SRP				
ENSMFAG00000002658	SLC2A12	ENSG00000146411	SLC2A12	ortholog_one2one	1
ENSMFAG00000059970	Metazoa_SRP				
ENSMFAG00000049059	Metazoa_SRP				
ENSMFAG00000033804	U6	ENSG00000252984	RNU6-844P	ortholog_one2one	1
ENSMFAG00000044387	NUDT6	ENSG00000170917	NUDT6	ortholog_one2one	1
ENSMFAG00000056228					
ENSMFAG00000001383	C14orf93	ENSG00000100802	C14orf93	ortholog_one2one	1
ENSMFAG00000011071					
ENSMFAG00000063563					
ENSMFAG00000059551					
ENSMFAG00000022032	Metazoa_SRP	ENSG00000266875	RN7SL408P	ortholog_one2one	1
ENSMFAG00000001804	SLC10A4	ENSG00000145248	SLC10A4	ortholog_one2one	1
ENSMFAG00000035808					
ENSMFAG00000038613	SPARC	ENSG00000113140	SPARC	ortholog_one2one	1
ENSMFAG00000039313	IMMP2L	ENSG00000184903	IMMP2L	ortholog_one2one	1
ENSMFAG00000040363	NUP155	ENSG00000113569	NUP155	ortholog_one2one	1
ENSMFAG00000049346	Metazoa_SRP				
ENSMFAG00000052820	Metazoa_SRP				
ENSMFAG00000051405	ZAR1	ENSG00000182223	ZAR1	ortholog_one2one	1
ENSMFAG00000010271	PSMB11	ENSG00000222028	PSMB11	ortholog_one2one	1
ENSMFAG00000054132	snoU13				
ENSMFAG00000037310	SGK1	ENSG00000118515	SGK1	ortholog_one2one	1
ENSMFAG00000060547	Metazoa_SRP				
ENSMFAG00000047237	U3				
ENSMFAG00000050498	ATOX1	ENSG00000177556	ATOX1	ortholog_one2one	1
ENSMFAG00000040803	PSMB5	ENSG00000100804	PSMB5	ortholog_one2one	1
ENSMFAG00000065642					
ENSMFAG00000052929					
ENSMFAG00000035568	MYZAP	ENSG00000263155	MYZAP	ortholog_one2one	1
ENSMFAG00000048552	Metazoa_SRP				
ENSMFAG00000054115	Metazoa_SRP	ENSG00000274216	Metazoa_SRP	ortholog_one2many	0
ENSMFAG00000057270					
ENSMFAG00000031523	SMN1	ENSG00000205571	SMN2	ortholog_many2many	1
ENSMFAG00000031523	SMN1	ENSG00000172062	SMN1	ortholog_many2many	1
ENSMFAG00000043145	AFG2A	ENSG00000145375	AFG2A	ortholog_one2one	1
ENSMFAG00000054829	snoU13				
ENSMFAG00000004263	U6	ENSG00000199731	RNU6-1079P	ortholog_one2one	1
ENSMFAG00000002248	CDH24	ENSG00000139880	CDH24	ortholog_one2one	1
ENSMFAG00000004570	5S_rRNA				
ENSMFAG00000054584	U6	ENSG00000207052	RNU6-378P	ortholog_one2one	1
ENSMFAG00000059549	Y_RNA	ENSG00000201309	Y_RNA	ortholog_one2one	1
ENSMFAG00000036333	NRG4	ENSG00000169752	NRG4	ortholog_one2one	1
ENSMFAG00000047661					
ENSMFAG00000031499	ZNF106	ENSG00000103994	ZNF106	ortholog_one2one	1
ENSMFAG00000049395	Metazoa_SRP				
ENSMFAG00000036965	G3BP1	ENSG00000145907	G3BP1	ortholog_one2one	1
ENSMFAG00000055793					
ENSMFAG00000050598					
ENSMFAG00000001322	LACTB	ENSG00000103642	LACTB	ortholog_one2one	1
ENSMFAG00000060760	Metazoa_SRP				
ENSMFAG00000061390					
ENSMFAG00000009285	U4				
ENSMFAG00000059923					
ENSMFAG00000039460	RPS27L	ENSG00000185088	RPS27L	ortholog_one2one	1
ENSMFAG00000037548	ALDH8A1	ENSG00000118514	ALDH8A1	ortholog_one2one	1
ENSMFAG00000027682	TMEM266	ENSG00000169758	TMEM266	ortholog_one2one	1
ENSMFAG00000042691	ZFR	ENSG00000056097	ZFR	ortholog_one2one	1
ENSMFAG00000061737	snoU13				
ENSMFAG00000044248	DOCK4	ENSG00000128512	DOCK4	ortholog_one2one	1
ENSMFAG00000056379					
ENSMFAG00000054576	RAB8B	ENSG00000166128	RAB8B	ortholog_one2one	1
ENSMFAG00000058359					
ENSMFAG00000033181	GLRA1	ENSG00000145888	GLRA1	ortholog_one2one	1
ENSMFAG00000064717					
ENSMFAG00000045306	FAM81B	ENSG00000153347	FAM81B	ortholog_one2one	1
ENSMFAG00000055013	U3				
ENSMFAG00000052915					
ENSMFAG00000048215	SERF1B	ENSG00000205572	SERF1B	ortholog_one2one	1
ENSMFAG00000050812	U3				
ENSMFAG00000020452	Metazoa_SRP	ENSG00000265735	RN7SL5P	ortholog_one2one	0
ENSMFAG00000063206					
ENSMFAG00000050606	APH1B	ENSG00000138613	APH1B	ortholog_one2one	1
ENSMFAG00000023896	U7				
ENSMFAG00000043821					
ENSMFAG00000013798	U7	ENSG00000251880	RNU7-75P	ortholog_one2one	1
ENSMFAG00000034687	FRYL	ENSG00000075539	FRYL	ortholog_one2one	1
ENSMFAG00000043345	NMUR2	ENSG00000132911	NMUR2	ortholog_one2one	1
ENSMFAG00000049780					
ENSMFAG00000021373					
ENSMFAG00000060675					
ENSMFAG00000044437	ACIN1	ENSG00000100813	ACIN1	ortholog_one2one	1
ENSMFAG00000064809	Metazoa_SRP				
ENSMFAG00000065489					
ENSMFAG00000050039					
ENSMFAG00000047554					
ENSMFAG00000018597	ETFA	ENSG00000140374	ETFA	ortholog_one2one	1
ENSMFAG00000053774					
ENSMFAG00000030910	WDR70	ENSG00000082068	WDR70	ortholog_one2one	1
ENSMFAG00000052050					
ENSMFAG00000065134					
ENSMFAG00000018154	MIR579	ENSG00000207956	MIR579	ortholog_one2one	1
ENSMFAG00000054125					
ENSMFAG00000049703					
ENSMFAG00000040970	CA12	ENSG00000074410	CA12	ortholog_one2one	1
ENSMFAG00000050112	Metazoa_SRP				
ENSMFAG00000057554					
ENSMFAG00000062490					
ENSMFAG00000041440	BDP1	ENSG00000145734	BDP1	ortholog_one2one	1
ENSMFAG00000003766	HBS1L	ENSG00000112339	HBS1L	ortholog_one2one	1
ENSMFAG00000037327	ALDH1A2	ENSG00000128918	ALDH1A2	ortholog_one2one	1
ENSMFAG00000055958					
ENSMFAG00000040876	SKIC3	ENSG00000198677	SKIC3	ortholog_one2one	1
ENSMFAG00000057057					
ENSMFAG00000008268	U6	ENSG00000222743	RNU6-1190P	ortholog_one2one	1
ENSMFAG00000059929					
ENSMFAG00000063068	U6	ENSG00000206743	RNU6-484P	ortholog_one2one	1
ENSMFAG00000065059					
ENSMFAG00000044416	FSTL5	ENSG00000168843	FSTL5	ortholog_one2one	1
ENSMFAG00000050010					
ENSMFAG00000063057					
ENSMFAG00000057508					
ENSMFAG00000042444	GANC	ENSG00000214013	GANC	ortholog_one2one	1
ENSMFAG00000051020	Y_RNA	ENSG00000201529	Y_RNA	ortholog_one2one	1
ENSMFAG00000057345					
ENSMFAG00000061244					
ENSMFAG00000062564	SUB1	ENSG00000113387	SUB1	ortholog_one2one	1
ENSMFAG00000059393	Metazoa_SRP				
ENSMFAG00000000946	ARG2	ENSG00000081181	ARG2	ortholog_one2one	1
ENSMFAG00000060887	U6	ENSG00000212259	RNU6-308P	ortholog_one2one	1
ENSMFAG00000032654	ISL2	ENSG00000159556	ISL2	ortholog_one2one	1
ENSMFAG00000047234	GDNF	ENSG00000168621	GDNF	ortholog_one2one	1
ENSMFAG00000043353	GRIA1	ENSG00000155511	GRIA1	ortholog_one2one	1
ENSMFAG00000035630	ARSK	ENSG00000164291	ARSK	ortholog_one2one	1
ENSMFAG00000050985	Metazoa_SRP				
ENSMFAG00000061307	SNORD115				
ENSMFAG00000016075	USP3	ENSG00000140455	USP3	ortholog_one2one	1
ENSMFAG00000032953		ENSG00000100568	VTI1B	ortholog_one2one	0
ENSMFAG00000056624	SNORD115				
ENSMFAG00000061547					
ENSMFAG00000057584	SNORD115				
ENSMFAG00000043552	NPR3	ENSG00000113389	NPR3	ortholog_one2one	1
ENSMFAG00000039733	AQP9	ENSG00000103569	AQP9	ortholog_one2one	1
ENSMFAG00000050880	SNORD115				
ENSMFAG00000001590	EGFLAM	ENSG00000164318	EGFLAM	ortholog_one2one	1
ENSMFAG00000061027	SNORD115	ENSG00000201907	SNORD115-38	ortholog_one2one	1
ENSMFAG00000049143	SNORD115	ENSG00000199970	SNORD115-3	ortholog_one2many	1
ENSMFAG00000054452	SNORD115	ENSG00000199311	SNORD115-34	ortholog_one2one	1
ENSMFAG00000050983					
ENSMFAG00000057155	SNORD115				
ENSMFAG00000062590	SNORD115	ENSG00000200987	SNORD115-30	ortholog_one2one	1
ENSMFAG00000037560	RFESD	ENSG00000175449	RFESD	ortholog_one2one	1
ENSMFAG00000065044	SNORD115	ENSG00000199704	SNORD115-29	ortholog_one2one	1
ENSMFAG00000030020	SCAPER	ENSG00000140386	SCAPER	ortholog_one2one	1
ENSMFAG00000047201	SNORD115	ENSG00000200801	SNORD115-28	ortholog_one2one	1
ENSMFAG00000009928	SNORD115	ENSG00000201300	SNORD115-27	ortholog_one2one	1
ENSMFAG00000055018					
ENSMFAG00000055046	SNORD115	ENSG00000202499	SNORD115-36	ortholog_one2one	1
ENSMFAG00000038564	RDH11	ENSG00000072042	RDH11	ortholog_one2one	1
ENSMFAG00000063035	SNORD115	ENSG00000199489	SNORD115-25	ortholog_one2one	1
ENSMFAG00000047684					
ENSMFAG00000050958	SNORD115	ENSG00000200398	SNORD115-24	ortholog_one2one	1
ENSMFAG00000064673					
ENSMFAG00000009886	SNORD115	ENSG00000201331	SNORD115-23	ortholog_one2one	1
ENSMFAG00000034000	LIPC	ENSG00000166035	LIPC	ortholog_one2one	1
ENSMFAG00000028795	SPATA9	ENSG00000145757	SPATA9	ortholog_one2one	1
ENSMFAG00000059547	Metazoa_SRP				
ENSMFAG00000065216					
ENSMFAG00000060980	MIR3662	ENSG00000283409	MIR3662	ortholog_one2one	1
ENSMFAG00000054657	SNORD115	ENSG00000201326	SNORD115-22	ortholog_one2one	1
ENSMFAG00000060905					
ENSMFAG00000063394					
ENSMFAG00000064893	SNORD115				
ENSMFAG00000065060					
ENSMFAG00000061952					
ENSMFAG00000058667	SNORD115				
ENSMFAG00000008163	CAPN3	ENSG00000092529	CAPN3	ortholog_one2one	1
ENSMFAG00000034705					
ENSMFAG00000054139	SNORD115	ENSG00000199968	SNORD115-19	ortholog_one2one	1
ENSMFAG00000000573	FBXL22	ENSG00000197361	FBXL22	ortholog_one2one	1
ENSMFAG00000058030	SNORD115				
ENSMFAG00000023474	Metazoa_SRP	ENSG00000241542	RN7SL369P	ortholog_one2one	1
ENSMFAG00000009969	SNORD115	ENSG00000200163	SNORD115-18	ortholog_one2one	1
ENSMFAG00000063276					
ENSMFAG00000063199					
ENSMFAG00000035406	ZNF277	ENSG00000198839	ZNF277	ortholog_one2one	1
ENSMFAG00000053012	SNORD115				
ENSMFAG00000036647	LIFR	ENSG00000113594	LIFR	ortholog_one2one	1
ENSMFAG00000062895	SNORD115	ENSG00000201679	SNORD115-15	ortholog_one2many	1
ENSMFAG00000001102	RDH12	ENSG00000139988	RDH12	ortholog_one2one	1
ENSMFAG00000060122	SNORD115				
ENSMFAG00000043608	RHOBTB3	ENSG00000164292	RHOBTB3	ortholog_one2one	1
ENSMFAG00000057209	SNORD115				
ENSMFAG00000043658	TARS1	ENSG00000113407	TARS1	ortholog_one2one	1
ENSMFAG00000049643	SNORD115	ENSG00000201679	SNORD115-15	ortholog_one2many	1
ENSMFAG00000049326	SNORD115				
ENSMFAG00000045385	IFRD1	ENSG00000006652	IFRD1	ortholog_one2one	1
ENSMFAG00000039515	CIROP	ENSG00000283654	CIROP	ortholog_one2one	1
ENSMFAG00000051908	SNORD115				
ENSMFAG00000061448	SNORD115	ENSG00000201679	SNORD115-15	ortholog_one2many	1
ENSMFAG00000064037	SNORD115				
ENSMFAG00000052474	SNORD115				
ENSMFAG00000014306	OSMR	ENSG00000145623	OSMR	ortholog_one2one	1
ENSMFAG00000051748					
ENSMFAG00000062557	SNORD115	ENSG00000201679	SNORD115-15	ortholog_one2many	1
ENSMFAG00000057087	U7				
ENSMFAG00000050279					
ENSMFAG00000036535	MYB	ENSG00000118513	MYB	ortholog_one2one	1
ENSMFAG00000053191	SNORD115				
ENSMFAG00000041204					
ENSMFAG00000064326	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000054816	SNORD115	ENSG00000273835	SNORD115-13	ortholog_one2one	1
ENSMFAG00000059843	U2				
ENSMFAG00000030979	MSANTD1	ENSG00000188981	MSANTD1	ortholog_one2one	1
ENSMFAG00000046136	LSMEM1	ENSG00000181016	LSMEM1	ortholog_one2one	1
ENSMFAG00000053238	SNORD115	ENSG00000199453	SNORD115-12	ortholog_one2one	1
ENSMFAG00000039086	GLRX	ENSG00000173221	GLRX	ortholog_one2one	1
ENSMFAG00000051446					
ENSMFAG00000063509	Metazoa_SRP	ENSG00000242976	RN7SL177P	ortholog_one2one	1
ENSMFAG00000062011	SNORD115	ENSG00000200486	SNORD115-11	ortholog_one2one	1
ENSMFAG00000054671					
ENSMFAG00000054254					
ENSMFAG00000064539	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000048959					
ENSMFAG00000065070	CEBPE	ENSG00000092067	CEBPE	ortholog_one2one	1
ENSMFAG00000022462	TMEM168	ENSG00000146802	TMEM168	ortholog_one2one	1
ENSMFAG00000057432					
ENSMFAG00000058809	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000062231	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000064973	Metazoa_SRP				
ENSMFAG00000053323					
ENSMFAG00000003773	ADAM10	ENSG00000137845	ADAM10	ortholog_one2one	1
ENSMFAG00000036640	ZFYVE26	ENSG00000072121	ZFYVE26	ortholog_one2one	1
ENSMFAG00000051988	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000050247					
ENSMFAG00000041149		ENSG00000118985	ELL2	ortholog_one2one	0
ENSMFAG00000042159	BMT2	ENSG00000164603	SAMTOR	ortholog_one2one	1
ENSMFAG00000062937	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000043590	FAM114A2	ENSG00000055147	FAM114A2	ortholog_one2one	1
ENSMFAG00000030940	RCN2	ENSG00000117906	RCN2	ortholog_one2one	1
ENSMFAG00000050641	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000044619					
ENSMFAG00000001018	SLC7A8	ENSG00000092068	SLC7A8	ortholog_one2one	1
ENSMFAG00000061430	SNORD115	ENSG00000201943	SNORD115-10	ortholog_one2many	1
ENSMFAG00000013896	MIR583	ENSG00000207578	MIR583	ortholog_one2one	1
ENSMFAG00000049164	SNORD115				
ENSMFAG00000005316	U6	ENSG00000206997	RNU6-524P	ortholog_one2one	1
ENSMFAG00000055393	SNORD115				
ENSMFAG00000039419	RGS12	ENSG00000159788	RGS12	ortholog_one2one	1
ENSMFAG00000052996	GPR85	ENSG00000164604	GPR85	ortholog_one2one	1
ENSMFAG00000045732	NUP153	ENSG00000124789	NUP153	ortholog_one2one	1
ENSMFAG00000010970	Metazoa_SRP	ENSG00000243365	RN7SL278P	ortholog_one2one	1
ENSMFAG00000054111					
ENSMFAG00000057375	SNORD115	ENSG00000199782	SNORD115-9	ortholog_one2one	1
ENSMFAG00000051270					
ENSMFAG00000064500	SNORD115				
ENSMFAG00000042626					
ENSMFAG00000061991	SNORD115	ENSG00000278089	SNORD115-7	ortholog_one2one	1
ENSMFAG00000057233					
ENSMFAG00000049554	SNORD115				
ENSMFAG00000058016	SNORD115	ENSG00000199970	SNORD115-3	ortholog_one2many	1
ENSMFAG00000052426	Metazoa_SRP	ENSG00000277721	Metazoa_SRP	ortholog_one2many	0
ENSMFAG00000053780	PPP1R3A	ENSG00000154415	PPP1R3A	ortholog_one2one	1
ENSMFAG00000035299	U6				
ENSMFAG00000031959	TSPAN3	ENSG00000140391	TSPAN3	ortholog_one2one	1
ENSMFAG00000057248	SNORD115	ENSG00000200680	SNORD115-4	ortholog_one2one	1
ENSMFAG00000056322	U6				
ENSMFAG00000058007	Metazoa_SRP				
ENSMFAG00000056047	Metazoa_SRP				
ENSMFAG00000053161	SNORD115	ENSG00000202188	SNORD115-31	ortholog_one2one	1
ENSMFAG00000002609	MFAP3	ENSG00000037749	MFAP3	ortholog_one2one	1
ENSMFAG00000065499					
