humanEnsemblID,HumanGeneSymbol,MfasEnsemblID,MfasGeneSymbol
ENSG00000093167,LRRFIP2,ENSMFAG00000032193,LRRFIP2
ENSG00000241343,RPL36A,ENSMFAG00000045819,
ENSG00000196912,ANKRD36B,ENSMFAG00000002024,
ENSG00000099260,PALMD,ENSMFAG00000001331,PALMD
ENSG00000164136,IL15,ENSMFAG00000043515,IL15
ENSG00000072041,SLC6A15,ENSMFAG00000003556,SLC6A15
ENSG00000166862,CACNG2,ENSMFAG00000034357,CACNG2
ENSG00000103742,IGDCC4,ENSMFAG00000031165,IGDCC4
ENSG00000125850,OVOL2,ENSMFAG00000021726,OVOL2
ENSG00000114446,IFT57,ENSMFAG00000034173,IFT57
ENSG00000114503,NCBP2,ENSMFAG00000001109,NCBP2
ENSG00000151320,AKAP6,ENSMFAG00000040818,AKAP6
ENSG00000069493,CLEC2D,ENSMFAG00000045824,CLEC2D
ENSG00000087258,GNAO1,ENSMFAG00000032734,GNAO1
ENSG00000116138,DNAJC16,ENSMFAG00000036417,DNAJC16
ENSG00000171509,RXFP1,ENSMFAG00000045017,RXFP1
ENSG00000074590,NUAK1,ENSMFAG00000000816,NUAK1
ENSG00000143061,IGSF3,ENSMFAG00000000910,IGSF3
ENSG00000164985,PSIP1,ENSMFAG00000045606,PSIP1
ENSG00000134755,DSC2,ENSMFAG00000045076,DSC2
ENSG00000151491,EPS8,ENSMFAG00000001399,EPS8
ENSG00000247077,PGAM5,ENSMFAG00000003060,
ENSG00000134765,DSC1,ENSMFAG00000035735,DSC1
ENSG00000134247,PTGFRN,ENSMFAG00000038301,PTGFRN
ENSG00000145979,TBC1D7,ENSMFAG00000040608,TBC1D7
ENSG00000115194,SLC30A3,ENSMFAG00000000328,SLC30A3
ENSG00000106066,CPVL,ENSMFAG00000000559,CPVL
ENSG00000204882,GPR20,ENSMFAG00000011730,GPR20
ENSG00000101849,TBL1X,ENSMFAG00000005183,TBL1X
ENSG00000162496,DHRS3,ENSMFAG00000044134,DHRS3
ENSG00000112812,PRSS16,ENSMFAG00000004036,PRSS16
ENSG00000164326,CARTPT,ENSMFAG00000035639,CARTPT
ENSG00000187094,CCK,ENSMFAG00000002130,CCK
ENSG00000072501,SMC1A,ENSMFAG00000003859,SMC1A
ENSG00000100234,TIMP3,ENSMFAG00000030203,TIMP3
ENSG00000158423,RIBC1,ENSMFAG00000002670,RIBC1
ENSG00000074964,ARHGEF10L,ENSMFAG00000040019,ARHGEF10L
ENSG00000160957,RECQL4,ENSMFAG00000038185,RECQL4
ENSG00000131951,LRRC9,ENSMFAG00000041739,LRRC9
ENSG00000196531,NACA,ENSMFAG00000004178,
ENSG00000124664,SPDEF,ENSMFAG00000043637,SPDEF
ENSG00000157093,LYZL4,ENSMFAG00000041826,LYZL4
ENSG00000187398,LUZP2,ENSMFAG00000042111,LUZP2
ENSG00000101638,ST8SIA5,ENSMFAG00000035970,ST8SIA5
ENSG00000176769,TCERG1L,ENSMFAG00000043079,TCERG1L
ENSG00000109501,WFS1,ENSMFAG00000040639,WFS1
ENSG00000139719,VPS33A,ENSMFAG00000019477,
ENSG00000139719,VPS33A,ENSMFAG00000001367,
ENSG00000196639,HRH1,ENSMFAG00000030336,HRH1
ENSG00000100362,PVALB,ENSMFAG00000043667,PVALB
ENSG00000013503,POLR3B,ENSMFAG00000038425,POLR3B
ENSG00000164128,NPY1R,ENSMFAG00000001038,NPY1R
ENSG00000011566,MAP4K3,ENSMFAG00000042454,MAP4K3
ENSG00000164129,NPY5R,ENSMFAG00000030111,NPY5R
ENSG00000140931,CMTM3,ENSMFAG00000039621,CMTM3
ENSG00000171497,PPID,ENSMFAG00000024366,
ENSG00000171497,PPID,ENSMFAG00000002633,PPID
ENSG00000171497,PPID,ENSMFAG00000018815,
ENSG00000124762,CDKN1A,ENSMFAG00000001604,CDKN1A
ENSG00000188984,AADACL3,ENSMFAG00000038244,AADACL3
ENSG00000175395,ZNF25,ENSMFAG00000043027,
ENSG00000175395,ZNF25,ENSMFAG00000031253,
ENSG00000141433,ADCYAP1,ENSMFAG00000044464,ADCYAP1
ENSG00000133640,LRRIQ1,ENSMFAG00000044599,LRRIQ1
ENSG00000179172,HNRNPCL1,ENSMFAG00000002431,
ENSG00000206503,HLA-A,ENSMFAG00000038879,
ENSG00000206503,HLA-A,ENSMFAG00000032513,
ENSG00000206503,HLA-A,ENSMFAG00000000984,
ENSG00000206503,HLA-A,ENSMFAG00000040054,
ENSG00000206503,HLA-A,ENSMFAG00000000580,
ENSG00000132561,MATN2,ENSMFAG00000042275,MATN2
ENSG00000179361,ARID3B,ENSMFAG00000033841,ARID3B
ENSG00000185942,NKAIN3,ENSMFAG00000002073,NKAIN3
ENSG00000172987,HPSE2,ENSMFAG00000036760,HPSE2
ENSG00000079785,DDX1,ENSMFAG00000033987,DDX1
ENSG00000117154,IGSF21,ENSMFAG00000040850,IGSF21
ENSG00000143947,RPS27A,ENSMFAG00000008239,
ENSG00000143947,RPS27A,ENSMFAG00000037923,
ENSG00000146858,ZC3HAV1L,ENSMFAG00000040119,ZC3HAV1L
ENSG00000173705,SUSD5,ENSMFAG00000033317,SUSD5
ENSG00000147100,SLC16A2,ENSMFAG00000034044,SLC16A2
ENSG00000137818,RPLP1,ENSMFAG00000030096,
ENSG00000074410,CA12,ENSMFAG00000040970,CA12
ENSG00000223865,HLA-DPB1,ENSMFAG00000042684,HLA-DPB1
ENSG00000159409,CELF3,ENSMFAG00000040182,CELF3
ENSG00000175376,EIF1AD,ENSMFAG00000038170,EIF1AD
ENSG00000160972,PPP1R16A,ENSMFAG00000045480,PPP1R16A
ENSG00000082805,ERC1,ENSMFAG00000032999,ERC1
ENSG00000146950,SHROOM2,ENSMFAG00000031091,SHROOM2
ENSG00000115085,ZAP70,ENSMFAG00000038123,ZAP70
ENSG00000177119,ANO6,ENSMFAG00000037126,ANO6
ENSG00000213625,LEPROT,ENSMFAG00000033874,LEPROT
ENSG00000242616,GNG10,ENSMFAG00000039837,GNG10
ENSG00000151929,BAG3,ENSMFAG00000035851,BAG3
ENSG00000183644,C11orf88,ENSMFAG00000036781,C11orf88
ENSG00000167550,RHEBL1,ENSMFAG00000035227,RHEBL1
ENSG00000052795,FNIP2,ENSMFAG00000039076,FNIP2
ENSG00000153130,SCOC,ENSMFAG00000001579,SCOC
ENSG00000120693,SMAD9,ENSMFAG00000045013,SMAD9
ENSG00000112977,DAP,ENSMFAG00000036456,DAP
ENSG00000136720,HS6ST1,ENSMFAG00000034534,
ENSG00000136720,HS6ST1,ENSMFAG00000044689,
ENSG00000174791,RIN1,ENSMFAG00000039678,RIN1
ENSG00000143458,GABPB2,ENSMFAG00000002109,
ENSG00000158966,CACHD1,ENSMFAG00000037670,CACHD1
ENSG00000149305,HTR3B,ENSMFAG00000002022,HTR3B
ENSG00000139910,NOVA1,ENSMFAG00000035425,NOVA1
ENSG00000165494,PCF11,ENSMFAG00000034679,PCF11
ENSG00000167306,MYO5B,ENSMFAG00000007943,
ENSG00000128604,IRF5,ENSMFAG00000043616,IRF5
ENSG00000118733,OLFM3,ENSMFAG00000032568,OLFM3
ENSG00000169432,SCN9A,ENSMFAG00000034634,SCN9A
ENSG00000175294,CATSPER1,ENSMFAG00000000565,CATSPER1
ENSG00000108590,MED31,ENSMFAG00000000088,MED31
ENSG00000072609,CHFR,ENSMFAG00000039138,CHFR
ENSG00000162494,LRRC38,ENSMFAG00000035413,LRRC38
ENSG00000137500,CCDC90B,ENSMFAG00000034340,CCDC90B
ENSG00000102265,TIMP1,ENSMFAG00000038764,TIMP1
ENSG00000101187,SLCO4A1,ENSMFAG00000041624,SLCO4A1
ENSG00000135108,FBXO21,ENSMFAG00000031531,FBXO21
ENSG00000182134,TDRKH,ENSMFAG00000041641,TDRKH
ENSG00000166736,HTR3A,ENSMFAG00000044451,HTR3A
ENSG00000182326,C1S,ENSMFAG00000000569,
ENSG00000182326,C1S,ENSMFAG00000044978,
ENSG00000144285,SCN1A,ENSMFAG00000031169,SCN1A
ENSG00000171303,KCNK3,ENSMFAG00000031311,KCNK3
ENSG00000103404,USP31,ENSMFAG00000036053,USP31
ENSG00000183439,TRIM61,ENSMFAG00000000516,
ENSG00000183439,TRIM61,ENSMFAG00000026475,
ENSG00000124713,GNMT,ENSMFAG00000045063,GNMT
ENSG00000168724,DNAJC21,ENSMFAG00000001345,DNAJC21
ENSG00000182551,ADI1,ENSMFAG00000040320,ADI1
ENSG00000114098,ARMC8,ENSMFAG00000036859,ARMC8
ENSG00000171680,PLEKHG5,ENSMFAG00000004055,PLEKHG5
ENSG00000156140,ADAMTS3,ENSMFAG00000043434,ADAMTS3
ENSG00000204642,HLA-F,ENSMFAG00000040925,HLA-F
ENSG00000179151,EDC3,ENSMFAG00000043074,EDC3
ENSG00000140455,USP3,ENSMFAG00000016075,USP3
ENSG00000256806,C17orf100,ENSMFAG00000045022,C17orf100
ENSG00000198576,ARC,ENSMFAG00000002291,ARC
ENSG00000186891,TNFRSF18,ENSMFAG00000038779,TNFRSF18
ENSG00000113971,NPHP3,ENSMFAG00000045677,NPHP3
ENSG00000165821,SALL2,ENSMFAG00000002687,SALL2
ENSG00000198242,RPL23A,ENSMFAG00000032173,RPL23A
ENSG00000101470,TNNC2,ENSMFAG00000037927,TNNC2
ENSG00000110906,KCTD10,ENSMFAG00000001368,KCTD10
ENSG00000089169,RPH3A,ENSMFAG00000042100,RPH3A
ENSG00000197548,ATG7,ENSMFAG00000040779,ATG7
ENSG00000139318,DUSP6,ENSMFAG00000038546,DUSP6
ENSG00000234745,HLA-B,ENSMFAG00000041963,
ENSG00000234745,HLA-B,ENSMFAG00000045054,
ENSG00000152049,KCNE4,ENSMFAG00000003011,KCNE4
ENSG00000163536,SERPINI1,ENSMFAG00000032238,SERPINI1
ENSG00000127588,GNG13,ENSMFAG00000001969,GNG13
ENSG00000148498,PARD3,ENSMFAG00000002675,PARD3
ENSG00000033050,ABCF2,ENSMFAG00000034542,
ENSG00000184517,ZFP1,ENSMFAG00000001812,ZFP1
ENSG00000285292,ABCF2,ENSMFAG00000034542,
ENSG00000157741,UBN2,ENSMFAG00000037061,UBN2
ENSG00000155761,SPAG17,ENSMFAG00000043409,SPAG17
ENSG00000109906,ZBTB16,ENSMFAG00000008415,ZBTB16
ENSG00000163827,LRRC2,ENSMFAG00000034577,LRRC2
ENSG00000182601,HS3ST4,ENSMFAG00000032040,HS3ST4
ENSG00000166741,NNMT,ENSMFAG00000036328,NNMT
ENSG00000165240,ATP7A,ENSMFAG00000037371,ATP7A
ENSG00000144909,OSBPL11,ENSMFAG00000044778,OSBPL11
ENSG00000141447,OSBPL1A,ENSMFAG00000003468,OSBPL1A
ENSG00000125148,MT2A,ENSMFAG00000034590,MT2A
ENSG00000182208,MOB2,ENSMFAG00000033274,MOB2
ENSG00000071127,WDR1,ENSMFAG00000003069,WDR1
ENSG00000082014,SMARCD3,ENSMFAG00000032295,SMARCD3
ENSG00000139132,FGD4,ENSMFAG00000032033,FGD4
ENSG00000101188,NTSR1,ENSMFAG00000030438,NTSR1
ENSG00000204525,HLA-C,ENSMFAG00000041963,
ENSG00000204525,HLA-C,ENSMFAG00000045054,
ENSG00000154040,CABYR,ENSMFAG00000007440,CABYR
ENSG00000198018,ENTPD7,ENSMFAG00000038377,ENTPD7
ENSG00000131263,RLIM,ENSMFAG00000001666,RLIM
ENSG00000013725,CD6,ENSMFAG00000033693,CD6
ENSG00000075420,FNDC3B,ENSMFAG00000033083,FNDC3B
ENSG00000168928,CTRB2,ENSMFAG00000036811,
ENSG00000168928,CTRB2,ENSMFAG00000022948,
ENSG00000184545,DUSP8,ENSMFAG00000002727,DUSP8
ENSG00000168495,POLR3D,ENSMFAG00000029141,POLR3D
ENSG00000197121,PGAP1,ENSMFAG00000029122,PGAP1
ENSG00000174501,ANKRD36C,ENSMFAG00000002024,
ENSG00000180155,LYNX1,ENSMFAG00000003844,LYNX1
ENSG00000118271,TTR,ENSMFAG00000039111,TTR
ENSG00000113448,PDE4D,ENSMFAG00000041776,PDE4D
ENSG00000123240,OPTN,ENSMFAG00000045578,OPTN
ENSG00000167656,LY6D,ENSMFAG00000001135,LY6D
ENSG00000168386,FILIP1L,ENSMFAG00000036755,FILIP1L
ENSG00000186281,GPAT2,ENSMFAG00000042130,GPAT2
ENSG00000170871,KIAA0232,ENSMFAG00000034581,KIAA0232
ENSG00000177301,KCNA2,ENSMFAG00000000561,KCNA2
ENSG00000130714,POMT1,ENSMFAG00000038316,POMT1
ENSG00000123411,IKZF4,ENSMFAG00000002625,IKZF4
ENSG00000166341,DCHS1,ENSMFAG00000043464,DCHS1
ENSG00000165606,DRGX,ENSMFAG00000031409,DRGX
ENSG00000044459,CNTLN,ENSMFAG00000038531,CNTLN
ENSG00000156486,KCNS2,ENSMFAG00000030529,KCNS2
ENSG00000104375,STK3,ENSMFAG00000000855,STK3
ENSG00000119844,AFTPH,ENSMFAG00000041331,AFTPH
ENSG00000141639,MAPK4,ENSMFAG00000036294,MAPK4
ENSG00000132004,FBXW9,ENSMFAG00000035757,FBXW9
ENSG00000140798,ABCC12,ENSMFAG00000039229,ABCC12
ENSG00000244731,C4A,ENSMFAG00000003345,
ENSG00000060718,COL11A1,ENSMFAG00000002722,COL11A1
ENSG00000109475,RPL34,ENSMFAG00000034835,
ENSG00000047648,ARHGAP6,ENSMFAG00000037315,ARHGAP6
ENSG00000146670,CDCA5,ENSMFAG00000045080,CDCA5
ENSG00000130347,RTN4IP1,ENSMFAG00000045409,RTN4IP1
ENSG00000082516,GEMIN5,ENSMFAG00000032027,GEMIN5
ENSG00000124207,CSE1L,ENSMFAG00000034230,CSE1L
ENSG00000088756,ARHGAP28,ENSMFAG00000003744,ARHGAP28
ENSG00000164112,TMEM155,ENSMFAG00000039159,TMEM155
ENSG00000139697,SBNO1,ENSMFAG00000031429,SBNO1
ENSG00000136732,GYPC,ENSMFAG00000003980,GYPC
ENSG00000166199,ALKBH3,ENSMFAG00000031334,ALKBH3
ENSG00000130304,SLC27A1,ENSMFAG00000034655,SLC27A1
ENSG00000180828,BHLHE22,ENSMFAG00000008727,BHLHE22
ENSG00000163032,VSNL1,ENSMFAG00000042391,VSNL1
ENSG00000149100,EIF3M,ENSMFAG00000040767,EIF3M
ENSG00000157778,PSMG3,ENSMFAG00000043635,PSMG3
ENSG00000149809,TM7SF2,ENSMFAG00000038773,TM7SF2
ENSG00000066248,NGEF,ENSMFAG00000031690,NGEF
ENSG00000174938,SEZ6L2,ENSMFAG00000043800,SEZ6L2
ENSG00000178038,ALS2CL,ENSMFAG00000034134,ALS2CL
ENSG00000111445,RFC5,ENSMFAG00000044172,RFC5
ENSG00000205730,ITPRIPL2,ENSMFAG00000015632,ITPRIPL2
ENSG00000109472,CPE,ENSMFAG00000037970,CPE
ENSG00000176871,WSB2,ENSMFAG00000036105,
ENSG00000176871,WSB2,ENSMFAG00000003453,
ENSG00000070961,ATP2B1,ENSMFAG00000045257,ATP2B1
ENSG00000155629,PIK3AP1,ENSMFAG00000046259,PIK3AP1
ENSG00000187479,C11orf96,ENSMFAG00000030397,C11orf96
ENSG00000243244,STON1,ENSMFAG00000003441,GTF2A1L
ENSG00000113494,PRLR,ENSMFAG00000039749,PRLR
ENSG00000139988,RDH12,ENSMFAG00000001102,RDH12
ENSG00000136114,THSD1,ENSMFAG00000042000,THSD1
ENSG00000178031,ADAMTSL1,ENSMFAG00000042640,ADAMTSL1
ENSG00000008118,CAMK1G,ENSMFAG00000002653,CAMK1G
ENSG00000162980,ARL5A,ENSMFAG00000002830,ARL5A
ENSG00000117155,SSX2IP,ENSMFAG00000036072,SSX2IP
ENSG00000122194,PLG,ENSMFAG00000033617,PLG
ENSG00000204498,NFKBIL1,ENSMFAG00000038447,NFKBIL1
ENSG00000108479,GALK1,ENSMFAG00000016278,GALK1
ENSG00000183048,SLC25A10,ENSMFAG00000002530,SLC25A10
ENSG00000242866,STRC,ENSMFAG00000045628,STRC
ENSG00000138379,MSTN,ENSMFAG00000027935,MSTN
ENSG00000198130,HIBCH,ENSMFAG00000045282,HIBCH
ENSG00000135900,MRPL44,ENSMFAG00000042793,MRPL44
ENSG00000021645,NRXN3,ENSMFAG00000031358,NRXN3
ENSG00000085511,MAP3K4,ENSMFAG00000036572,MAP3K4
ENSG00000176472,ZNF575,ENSMFAG00000045234,ZNF575
ENSG00000124702,KLHDC3,ENSMFAG00000039386,KLHDC3
ENSG00000143632,ACTA1,ENSMFAG00000002280,ACTA1
ENSG00000211445,GPX3,ENSMFAG00000030254,GPX3
ENSG00000124444,ZNF576,ENSMFAG00000044761,ZNF576
ENSG00000065413,ANKRD44,ENSMFAG00000032694,ANKRD44
ENSG00000139218,SCAF11,ENSMFAG00000036690,SCAF11
ENSG00000196878,LAMB3,ENSMFAG00000002990,LAMB3
ENSG00000113319,RASGRF2,ENSMFAG00000003054,RASGRF2
ENSG00000164331,ANKRA2,ENSMFAG00000043204,ANKRA2
ENSG00000006025,OSBPL7,ENSMFAG00000001330,OSBPL7
ENSG00000100526,CDKN3,ENSMFAG00000045970,CDKN3
ENSG00000070748,CHAT,ENSMFAG00000045379,CHAT
ENSG00000089127,OAS1,ENSMFAG00000015570,OAS1
ENSG00000214021,TTLL3,ENSMFAG00000033928,
ENSG00000178904,DPY19L3,ENSMFAG00000043628,DPY19L3
ENSG00000163291,PAQR3,ENSMFAG00000000708,PAQR3
ENSG00000105514,RAB3D,ENSMFAG00000002065,RAB3D
ENSG00000196407,THEM5,ENSMFAG00000041665,THEM5
ENSG00000130733,YIPF2,ENSMFAG00000039576,YIPF2
ENSG00000269313,MAGIX,ENSMFAG00000035726,MAGIX
ENSG00000197747,S100A10,ENSMFAG00000044914,S100A10
ENSG00000143924,EML4,ENSMFAG00000043115,EML4
ENSG00000168830,HTR1E,ENSMFAG00000030866,HTR1E
ENSG00000154589,LY96,ENSMFAG00000002255,LY96
ENSG00000128250,RFPL1,ENSMFAG00000039315,
ENSG00000213965,NUDT19,ENSMFAG00000042477,NUDT19
ENSG00000147145,LPAR4,ENSMFAG00000025015,LPAR4
ENSG00000197705,KLHL14,ENSMFAG00000043081,KLHL14
ENSG00000187045,TMPRSS6,ENSMFAG00000035751,TMPRSS6
ENSG00000091536,MYO15A,ENSMFAG00000039407,MYO15A
ENSG00000107593,PKD2L1,ENSMFAG00000030987,PKD2L1
ENSG00000072571,HMMR,ENSMFAG00000035690,HMMR
ENSG00000163702,IL17RC,ENSMFAG00000031400,IL17RC
ENSG00000136636,KCTD3,ENSMFAG00000042976,KCTD3
ENSG00000184428,TOP1MT,ENSMFAG00000035550,TOP1MT
ENSG00000132478,UNK,ENSMFAG00000037148,UNK
ENSG00000002822,MAD1L1,ENSMFAG00000045936,MAD1L1
ENSG00000158008,EXTL1,ENSMFAG00000031631,EXTL1
ENSG00000162757,C1orf74,ENSMFAG00000030051,C1orf74
ENSG00000115091,ACTR3,ENSMFAG00000041594,ACTR3
ENSG00000159915,ZNF233,ENSMFAG00000039215,ZNF233
ENSG00000133107,TRPC4,ENSMFAG00000032156,TRPC4
ENSG00000112306,RPS12,ENSMFAG00000042652,RPS12
ENSG00000128656,CHN1,ENSMFAG00000002404,CHN1
ENSG00000132824,SERINC3,ENSMFAG00000045198,SERINC3
ENSG00000182890,GLUD2,ENSMFAG00000043717,
ENSG00000182890,GLUD2,ENSMFAG00000036838,
ENSG00000117009,KMO,ENSMFAG00000044420,KMO
ENSG00000009413,REV3L,ENSMFAG00000040266,REV3L
ENSG00000054277,OPN3,ENSMFAG00000042077,OPN3
ENSG00000168748,CA7,ENSMFAG00000042876,CA7
ENSG00000271601,LIX1L,ENSMFAG00000031809,LIX1L
ENSG00000158050,DUSP2,ENSMFAG00000044384,DUSP2
ENSG00000148411,NACC2,ENSMFAG00000035921,NACC2
ENSG00000188483,IER5L,ENSMFAG00000037277,IER5L
ENSG00000109016,DHRS7B,ENSMFAG00000027901,DHRS7B
ENSG00000137486,ARRB1,ENSMFAG00000042650,ARRB1
ENSG00000151650,VENTX,ENSMFAG00000000934,VENTX
ENSG00000100207,TCF20,ENSMFAG00000003509,TCF20
ENSG00000158691,ZSCAN12,ENSMFAG00000046122,ZSCAN12
ENSG00000198331,HYLS1,ENSMFAG00000010478,HYLS1
ENSG00000179299,NSUN7,ENSMFAG00000001107,NSUN7
ENSG00000143001,TMEM61,ENSMFAG00000045765,TMEM61
ENSG00000185813,PCYT2,ENSMFAG00000000478,PCYT2
ENSG00000147140,NONO,ENSMFAG00000041557,NONO
ENSG00000165119,HNRNPK,ENSMFAG00000042755,HNRNPK
ENSG00000242265,PEG10,ENSMFAG00000045560,PEG10
ENSG00000162188,GNG3,ENSMFAG00000039354,GNG3
ENSG00000106689,LHX2,ENSMFAG00000028670,LHX2
ENSG00000171720,HDAC3,ENSMFAG00000002489,HDAC3
ENSG00000135540,NHSL1,ENSMFAG00000034365,NHSL1
ENSG00000132670,PTPRA,ENSMFAG00000033743,PTPRA
ENSG00000130287,NCAN,ENSMFAG00000043588,NCAN
ENSG00000136021,SCYL2,ENSMFAG00000028879,SCYL2
ENSG00000141098,GFOD2,ENSMFAG00000040849,GFOD2
ENSG00000051620,HEBP2,ENSMFAG00000041106,HEBP2
ENSG00000187664,HAPLN4,ENSMFAG00000029816,HAPLN4
ENSG00000042781,USH2A,ENSMFAG00000043973,USH2A
ENSG00000176887,SOX11,ENSMFAG00000020206,SOX11
ENSG00000130203,APOE,ENSMFAG00000042185,APOE
ENSG00000143067,ZNF697,ENSMFAG00000041585,ZNF697
ENSG00000141655,TNFRSF11A,ENSMFAG00000035682,TNFRSF11A
ENSG00000213578,CPLX3,ENSMFAG00000045538,CPLX3
ENSG00000144224,UBXN4,ENSMFAG00000002817,UBXN4
ENSG00000112539,C6orf118,ENSMFAG00000031329,C6orf118
ENSG00000186094,AGBL4,ENSMFAG00000032630,AGBL4
ENSG00000162373,BEND5,ENSMFAG00000032787,BEND5
ENSG00000130479,MAP1S,ENSMFAG00000039483,MAP1S
ENSG00000049618,ARID1B,ENSMFAG00000035788,ARID1B
ENSG00000143384,MCL1,ENSMFAG00000042545,MCL1
ENSG00000121390,PSPC1,ENSMFAG00000032728,PSPC1
ENSG00000186675,MAGEE2,ENSMFAG00000022309,MAGEE2
ENSG00000145246,ATP10D,ENSMFAG00000032751,ATP10D
ENSG00000188215,DCUN1D3,ENSMFAG00000037012,DCUN1D3
ENSG00000120686,UFM1,ENSMFAG00000004000,UFM1
ENSG00000132185,FCRLA,ENSMFAG00000038697,FCRLA
ENSG00000166483,WEE1,ENSMFAG00000034468,WEE1
ENSG00000108654,DDX5,ENSMFAG00000026858,DDX5
ENSG00000115947,ORC4,ENSMFAG00000031595,ORC4
ENSG00000007047,MARK4,ENSMFAG00000044808,MARK4
ENSG00000081923,ATP8B1,ENSMFAG00000036154,ATP8B1
ENSG00000205213,LGR4,ENSMFAG00000034294,LGR4
ENSG00000142252,GEMIN7,ENSMFAG00000030305,GEMIN7
ENSG00000114346,ECT2,ENSMFAG00000041285,ECT2
ENSG00000189221,MAOA,ENSMFAG00000041722,MAOA
ENSG00000258890,CEP95,ENSMFAG00000037980,CEP95
ENSG00000184178,SCFD2,ENSMFAG00000042186,SCFD2
ENSG00000174516,PELI3,ENSMFAG00000040742,PELI3
ENSG00000169031,COL4A3,ENSMFAG00000040617,COL4A3
ENSG00000205138,SDHAF1,ENSMFAG00000015193,SDHAF1
ENSG00000187730,GABRD,ENSMFAG00000041498,GABRD
ENSG00000108176,DNAJC12,ENSMFAG00000041356,DNAJC12
ENSG00000114853,ZBTB47,ENSMFAG00000042184,ZBTB47
ENSG00000189051,RNF222,ENSMFAG00000030185,RNF222
ENSG00000126814,TRMT5,ENSMFAG00000002940,TRMT5
ENSG00000197948,FCHSD1,ENSMFAG00000033954,FCHSD1
ENSG00000175497,DPP10,ENSMFAG00000004071,DPP10
ENSG00000239382,ALKBH6,ENSMFAG00000042361,ALKBH6
ENSG00000164620,RELL2,ENSMFAG00000033304,RELL2
ENSG00000162909,CAPN2,ENSMFAG00000003091,CAPN2
ENSG00000151651,ADAM8,ENSMFAG00000043182,ADAM8
ENSG00000132801,ZSWIM3,ENSMFAG00000000978,ZSWIM3
ENSG00000090674,MCOLN1,ENSMFAG00000001725,MCOLN1
ENSG00000082497,SERTAD4,ENSMFAG00000038535,SERTAD4
ENSG00000136327,NKX2-8,ENSMFAG00000031077,NKX2-8
ENSG00000011465,DCN,ENSMFAG00000037651,DCN
ENSG00000169902,TPST1,ENSMFAG00000003213,TPST1
ENSG00000071242,RPS6KA2,ENSMFAG00000032453,RPS6KA2
ENSG00000119203,CPSF3,ENSMFAG00000001339,CPSF3
ENSG00000185947,ZNF267,ENSMFAG00000024474,ZNF267
ENSG00000166579,NDEL1,ENSMFAG00000038556,NDEL1
ENSG00000182985,CADM1,ENSMFAG00000040148,CADM1
ENSG00000189306,RRP7A,ENSMFAG00000042855,RRP7A
ENSG00000165169,DYNLT3,ENSMFAG00000038542,DYNLT3
ENSG00000131013,PPIL4,ENSMFAG00000032721,PPIL4
ENSG00000146376,ARHGAP18,ENSMFAG00000002561,ARHGAP18
ENSG00000166135,HIF1AN,ENSMFAG00000043376,HIF1AN
ENSG00000185838,GNB1L,ENSMFAG00000045528,GNB1L
ENSG00000047597,XK,ENSMFAG00000041613,XK
ENSG00000178750,STX19,ENSMFAG00000007249,STX19
ENSG00000147036,LANCL3,ENSMFAG00000038488,LANCL3
ENSG00000072954,TMEM38A,ENSMFAG00000035712,TMEM38A
ENSG00000170412,GPRC5C,ENSMFAG00000044390,GPRC5C
ENSG00000085719,CPNE3,ENSMFAG00000031433,CPNE3
ENSG00000148331,ASB6,ENSMFAG00000007597,ASB6
ENSG00000184185,KCNJ12,ENSMFAG00000030169,
ENSG00000170745,KCNS3,ENSMFAG00000007411,KCNS3
ENSG00000170289,CNGB3,ENSMFAG00000032006,CNGB3
ENSG00000158445,KCNB1,ENSMFAG00000003724,KCNB1
ENSG00000112486,CCR6,ENSMFAG00000039819,CCR6
ENSG00000126247,CAPNS1,ENSMFAG00000036042,
ENSG00000170743,SYT9,ENSMFAG00000040372,SYT9
ENSG00000049860,HEXB,ENSMFAG00000003959,HEXB
ENSG00000162814,SPATA17,ENSMFAG00000030832,SPATA17
ENSG00000136213,CHST12,ENSMFAG00000002512,CHST12
ENSG00000165828,PRAP1,ENSMFAG00000045796,
ENSG00000147571,CRH,ENSMFAG00000036285,CRH
ENSG00000019485,PRDM11,ENSMFAG00000045073,PRDM11
ENSG00000006283,CACNA1G,ENSMFAG00000043298,CACNA1G
ENSG00000160799,CCDC12,ENSMFAG00000002976,CCDC12
ENSG00000152034,MCHR2,ENSMFAG00000040175,MCHR2
ENSG00000005243,COPZ2,ENSMFAG00000045896,COPZ2
ENSG00000133812,SBF2,ENSMFAG00000044936,SBF2
ENSG00000068697,LAPTM4A,ENSMFAG00000036772,LAPTM4A
ENSG00000183090,FREM3,ENSMFAG00000038207,FREM3
ENSG00000138134,STAMBPL1,ENSMFAG00000002838,STAMBPL1
ENSG00000138594,TMOD3,ENSMFAG00000001968,TMOD3
ENSG00000055483,USP36,ENSMFAG00000003093,USP36
ENSG00000164442,CITED2,ENSMFAG00000034104,CITED2
ENSG00000184281,TSSC4,ENSMFAG00000038372,TSSC4
ENSG00000133639,BTG1,ENSMFAG00000002587,BTG1
ENSG00000185650,ZFP36L1,ENSMFAG00000033125,ZFP36L1
ENSG00000186973,FAM183A,ENSMFAG00000032517,FAM183A
ENSG00000176204,LRRTM4,ENSMFAG00000001899,LRRTM4
ENSG00000150593,PDCD4,ENSMFAG00000001786,PDCD4
ENSG00000150275,PCDH15,ENSMFAG00000041043,PCDH15
